age,region,activity,heart_rate,steps,calories,step_range,calories_range,sleep_hours,weight_kg,fitness_level
22,East,Gym,85,10170,433,8k-11k,400-550,5.81,76.0,moderately_fit
20,South,Running,105,11890,545,11k-14k,400-550,5.94,79.1,moderately_fit
50,North,Gym,62,6461,270,5k-8k,250-400,7.19,71.1,unfit
29,North,Gym,77,12858,687,11k-14k,550-700,8.29,67.2,fit
31,North,Walking,68,11024,486,11k-14k,400-550,8.96,82.7,moderately_fit
20,South,Cycling,91,9057,439,8k-11k,400-550,7.78,82.8,moderately_fit
34,East,Running,112,12231,716,11k-14k,>700,9.15,77.4,fit
27,North,Gym,81,9410,267,8k-11k,250-400,7.63,63.1,moderately_fit
36,South,Running,107,13802,771,11k-14k,>700,8.51,80.6,fit
18,West,Sports,89,10624,507,8k-11k,400-550,7.18,77.3,moderately_fit
57,North,Walking,130,7220,210,5k-8k,<250,6.84,90.2,moderately_fit
55,North,Walking,76,7478,232,5k-8k,<250,6.93,73.7,moderately_fit
18,North,Running,106,17550,852,>14k,>700,7.41,86.0,fit
25,East,Running,100,16557,971,>14k,>700,6.98,59.3,fit
58,South,Walking,120,6029,188,5k-8k,<250,7.26,85.9,unfit
26,South,Gym,94,11943,423,11k-14k,400-550,6.62,79.6,moderately_fit
26,West,Gym,76,10826,513,8k-11k,400-550,7.43,80.4,moderately_fit
28,East,Running,103,9548,458,8k-11k,400-550,7.08,53.1,moderately_fit
29,North,Gym,90,5574,227,5k-8k,<250,8.56,58.6,unfit
55,East,Running,94,12225,639,11k-14k,550-700,8.54,83.3,fit
20,North,Sports,85,16041,874,>14k,>700,6.63,78.7,fit
25,East,Sports,83,13508,813,11k-14k,>700,6.94,67.5,fit
49,North,Cycling,85,10990,540,8k-11k,400-550,6.88,74.3,moderately_fit
52,East,Gym,73,5085,260,5k-8k,250-400,7.16,74.6,unfit
28,North,Cycling,97,11368,572,11k-14k,550-700,5.11,66.1,moderately_fit
59,West,Cycling,82,11575,546,11k-14k,400-550,7.66,101.1,moderately_fit
46,North,Cycling,110,10874,398,8k-11k,250-400,5.82,84.9,moderately_fit
